record,mesh,rule,severity,component,ids,status,message
report,,,,,,complete,2026-09-06T15:41:03.617655+00:00
settings,,,,,,selected,distance=1e-05 cm; area=1e-10 cm^2; aspect=100.0; pair_budget=2000000
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,nonmanifold,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,degenerate,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,zero_edge,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,duplicate_vertex,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,duplicate_face,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,internal,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,intersection,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,normals,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,boundary,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,t_junction,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,sliver,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,ngon,,,,complete,
check,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,concave,,,,complete,
finding,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,intersection,error,f,0 1,complete,同一メッシュ内の交差・共面重複。接続していない面同士の非共面接触を含む
finding,|MeshSentinel_Demo1|Bracket_SelfIntersection|polySurfaceShape3,boundary,warning,e,0 1 2 3 4 5,complete,開いた境界。意図した開口も対象
check,|MeshSentinel_Demo1|Housing_InwardNormals|Housing_InwardNormalsShape,nonmanifold,,,,complete,
check,|MeshSentinel_Demo1|Housing_InwardNormals|Housing_InwardNormalsShape,degenerate,,,,complete,
check,|MeshSentinel_Demo1|Housing_InwardNormals|Housing_InwardNormalsShape,zero_edge,,,,complete,
check,|MeshSentinel_Demo1|Housing_InwardNormals|Housing_InwardNormalsShape,duplicate_vertex,,,,complete,
check,|MeshSentinel_Demo1|Housing_InwardNormals|Housing_InwardNormalsShape,duplicate_face,,,,complete,
check,|MeshSentinel_Demo1|Housing_InwardNormals|Housing_InwardNormalsShape,internal,,,,complete,
check,|MeshSentinel_Demo1|Housing_InwardNormals|Housing_InwardNormalsShape,intersection,,,,complete,
check,|MeshSentinel_Demo1|Housing_InwardNormals|Housing_InwardNormalsShape,normals,,,,complete,
check,|MeshSentinel_Demo1|Housing_InwardNormals|Housing_InwardNormalsShape,boundary,,,,complete,
